13;Leg Raise;"Leg Raise is a stomach Fit Skill. (also in Abdonis)
Leg Raise is granted to the player upon reaching Lv. 56.";2;175;1;;;2
14;Leg Scissors;"Leg Scissors is a stomach Fit Skill.
Leg Scissors can be acquired by unlocking a treasure chest after completing Secluded Shrine Approach located in World 8.";2;135;3;;;2
15;Mountain Climber;"Mountain Climber is a leg Fit Skill.
Mountain Climber is granted to the player upon reaching Lv. 59.";3;120;5;;;3
16;Open and Close Leg Raise;"Open & Close Leg Raise is a stomach Fit Skill.
Open & Close Leg Raise can be acquired by opening the treasure chest located in the World 5 map.";3;5;0;;;2
17;Overhead Arm Spin;"Overhead Arm Spin is an arm Fit Skill in Ring Fit Adventure.

Overhead Arm Spin is granted to the player upon reaching Lv. 47";3;90;5;"Entering Form :

Stand with your feet shoulder width apart.
Raise both arms.
During Exercise

To complete this exercise, you raise the Ring-Con with both hands over your head and draw circles with it by turning around your arms.

Ring's Tips :

Rotate the Ring-Con around!
This may help relax your shoulders!";;1
18;Overhead Arm Twist;"Overhead Arm Twist is an arm Fit Skill where you raise both hands, with the Ring-Con on one hand, and twist your arms rhythmically.
Overhead Arm Twist is granted to the player upon reaching Lv. 29.";5;705;1;"Entering Form:
Stand with your feet shoulder width apart.
Hold the Ring-Con in one hand, and raise both hands.

Ring's Tips:
""Good for working those upper arms!""
""Twist your arms!""";;1
19;Overhead Bend;"Overhead Bend is a stomach Fit Skill.
Overhead Bend can be acquired by opening the treasure chest located in the World 4 map.

Level 1 attack: 70

Level 2 attack: 340

Level 3 attack: 790

Level 4 attack: 1000";1;1000;1;;;2
20;Overhead Hip Shake;Overhead Hip Shake is a stomach Fit Skill in Ring Fit Adventure's Adventure Mode. It is acquired by the player via reaching Lv. 38.;3;70;5;"During Exercise :

To complete this exercise, the player must shake their hips from side to side while keeping the Ring-Con above their head. The player must do this repeatedly until all reps have been cleared.";https://static.wikia.nocookie.net/ringfitadventure/images/b/bc/Shake.jpeg/revision/latest/scale-to-width-down/73?cb=20200402005150;2
21;Overhead Lunge Twist;"Overhead Lunge Twist is a stomach Fit Skill.
Overhead Lunge Twist is granted to the player upon reaching Lv. 50.";2;155;1;;;2
22;Overhead Side Bend;Overhead Side Bend is granted to the player upon reaching Lv. 65.;3;7;0;;;2
23;Overhead Squat;"Overhead Squat is a leg Fit Skill.
Overhead Squat is granted to the player when it's unlocked from the Skill Tree.

It is a similar variant than the Squat and Wide Squat, but this skill can attack up to 5 enemies in one turn.";3;110;5;;;3
24;Pendulum Bend;"Pendulum Bend is a stomach Fit Skill.
Pendulum Bend is available to acquire upon unlocking the Skill Tree.";2;130;3;;;2
25;Plank;"Plank is a stomach Fit Skill in Ring Fit Adventure.


In Adventure Mode, Plank is granted to the player upon reaching Lv. 20.";2;50;3;"Entering Form :

Set the Ring-Con down.
Put your elbows on the floor.
Extend your legs straight behind you.

During Exercise :

To complete this exercise, you hold your body straight and parallel to the floor while resting on your toes and elbows, and repeatedly raising your waist up and down.

Ring's Tips :

Don't lower your glutes so much that your lower back bends!
";;2
26;Revolved Crescent Lunge Pose;"The Revolved Crescent Lunge Pose is a yoga Fit Skill.
The Revolved Crescent Lunge Pose is granted to the player upon reaching Lv. 41.";2;130;1;;https://static.wikia.nocookie.net/ringfitadventure/images/3/3e/Crescent.jpeg;4
27;Ring Raise Combo;"Ring Raise Combo is a leg Fit Skill.
Ring Raise Combo is granted to the player upon beating World 7's Gluting Gallery.

Obtaining the Fit Skill Ring Raise Combo is a really unique way to get it.";2;155;1;;;3
28;Russian Twist;"Russian Twist is a stomach Fit Skill.

Russian Twist can be acquired as a reward for completing the World 9 chest set with a B rank and above.";3;130;5;;https://static.wikia.nocookie.net/ringfitadventure/images/9/94/Screenshot_2020-10-05_at_4.35.59_PM.png;2
29;Seated Forward Press;"Seated Forward Press is a stomach Fit Skill.
Seated Forward Press can be acquired by opening a treasure chest located in the World 6 map.";3;5;0;;;2
30;Seated Ring Raise;"Seated Ring Raise is a stomach Fit Skill.
Seated Ring Raise can be unlocked via the first expansion of the skill tree.";2;220;1;;;2
31;Shoulder Press;"Shoulder Press is an arm Fit Skill where you place the Ring-Con on your shoulder and press on it.
Shoulder Press is granted to the player via redeeming skill points in the Skill Tree's first tier of options.";3;6;0;;;1
32;Side Step;"Side Step is a leg Fit Skill.
Side Step is granted to the player when it's unlocked from the Skill Tree.";2;160;3;;;3
33;Squat;"Squat is a leg Fit Skill in Ring Fit Adventure's Adventure Mode. It is acquired by the player via the start of a new game in Adventure Mode. Squats have two variants; Wide Squat and Overhead Squat.";1;30;1;"Entering Form :
Stand with your feet shoulder width apart.
Point the Ring-Con straight in front of you.

During Exercise :
To complete this exercise, the player needs to squat, bending their knees and lowering their back.

Ring's Tips :
This will focus on working your legs!";;3
34;Standing Forward Fold;"Standing Forward Fold is a yoga Fit Skill.
Standing Forward Fold is granted to the player when it's unlocked from the Skill Tree.";3;8;0;;;4
35;Standing Twist;"Standing Twist is a stomach Fit Skill in which you position the Ring-Con horizontally in front of yourself and twist your waist from side to side.

Standing Twist is granted to the player upon reaching Lv. 8";2;20;5;;https://static.wikia.nocookie.net/ringfitadventure/images/8/88/Twist.jpeg/revision/latest/scale-to-width-down/110?cb=20200417194422;2
36;Thigh Press;Thigh Press is a leg Fit Skill in Ring Fit Adventure's Adventure Mode. It is acquired by the player via reaching Lv. 23.;1;80;1;"Entering Form :
1
2
3

During Exercise :
To complete this exercise, the player must press on the Ring-Con with their thighs and hold until told to release. Repeating the process until completion of the exercise.";;3
37;Tree Pose;"Tree Pose is a yoga Fit Skill.
Tree Pose is granted to the player upon reaching Lv. 68.";2;220;1;;;4
38;Tricep Kickback;"Tricep Kickback is an arm Fit Skill in Ring Fit Adventure.

Tricep Kickback is granted to the player upon reaching Lv. 62";2;145;3;"Entering Form

Put your right leg forward and bend your knee.
Hold the Ring-Con in your left hand, and raise your elbow.
During Exercise

To complete this exercise, you bend your knee, put your ring con free hand on your knee, and raise the other arm with the Ring-Con up and down. After the half amount of reps, you switch sides.

Ring's Tips

Like you're carrying something heavy!
Focus on your upper arms!";;1
39;Warrior I Pose;"Warrior I Pose is a yoga Fit Skill.
Warrior I Pose is granted to the player upon reaching Lv. 14.";1;61;1;;;4
40;Warrior II Pose;"Warrior II Pose is a yoga Fit Skill.
Warrior II Pose is granted to the player upon reaching Lv. 32.";2;60;5;;https://static.wikia.nocookie.net/ringfitadventure/images/e/ea/2.jpeg/revision/latest/scale-to-width-down/185?cb=20200402005927;4
41;Warrior III Pose;"Warrior III Pose is a yoga Fit Skill.
Warrior III Pose is granted to the player when it's unlocked from the Skill Tree.";2;125;3;;https://static.wikia.nocookie.net/ringfitadventure/images/1/1e/Screenshot_2020-10-07_at_11.55.05_AM.png;4
42;Wide Squat;"The Wide Squat is a leg Fit Skill in Ring Fit Adventure's Adventure Mode. It is acquired by the player via reaching Lv. 35. It is another variation of Squat, but you squat with your legs open.
";2;85;3;"Entering Form :
Spread your feet wide.
Point the Ring-Con straight in front of you.

During Exercise :
To complete this exercise, the player needs to bend their knees and lower their back while their legs are wide.

Ring's Tips :
Point the tips of your toes firmly outward!";https://static.wikia.nocookie.net/ringfitadventure/images/c/c3/Wide.jpeg/revision/latest/scale-to-width-down/110?cb=20200402005055;3
